Close,High,Low,Open,Volume
1784.0999755859375,1784.0999755859375,1779.199951171875,1781.5,57
1815.5,1815.5,1787.5999755859375,1788.9000244140625,13
1831.0999755859375,1842.9000244140625,1831.0999755859375,1842.9000244140625,2
1837.5,1845.5999755859375,1835.4000244140625,1835.5999755859375,13
1835.9000244140625,1838.0999755859375,1831.5999755859375,1837.199951171875,420
1822.5999755859375,1825.199951171875,1821.699951171875,1825.199951171875,3
1823.800048828125,1826.800048828125,1814.0999755859375,1814.699951171875,100
1837.9000244140625,1842.9000244140625,1824.5,1824.5,41
1867.5,1867.5,1847.199951171875,1849.9000244140625,13
1867.800048828125,1870.5,1867.800048828125,1870.5,3
1881.300048828125,1884.9000244140625,1863.5999755859375,1866.4000244140625,348
1881.800048828125,1885.0,1864.800048828125,1865.5,85
